Ensemble,Target,Horizon,MAE_at_horizon
Ensemble-Weighted (mstl_multi_only),RE,13,1.1767867323933874
Ensemble-Weighted (mstl_multi_only),RE,14,1.240249539109023
Ensemble-Weighted (mstl_multi_only),RE,15,1.2505479381276168
Ensemble-Weighted (mstl_multi_only),RE,16,1.2731884519765782
Ensemble-Weighted (mstl_multi_only),RE,17,1.3562245147452792
Ensemble-Weighted (mstl_multi_only),RE,18,1.3192317038213575
Ensemble-Weighted (mstl_multi_only),RE,19,1.5059201255594379
Ensemble-Weighted (mstl_multi_only),RE,20,1.43819721590768
Ensemble-Weighted (mstl_multi_only),RE,21,1.4542922441398989
Ensemble-Weighted (mstl_multi_only),RE,22,1.517984835714524
Ensemble-Weighted (mstl_multi_only),RE,23,1.60128903532709
Ensemble-Weighted (mstl_multi_only),RE,24,1.693612728153474
Ensemble-Weighted (mstl_only),CI,1,1.2506314708706634
Ensemble-Weighted (mstl_only),CI,2,3.2473476900250158
Ensemble-Weighted (mstl_only),CI,3,3.702646868956713
Ensemble-Weighted (mstl_only),CI,4,3.7959509790603145
Ensemble-Weighted (mstl_only),CI,5,3.8036607343829223
Ensemble-Weighted (mstl_only),CI,6,4.252688236059183
Ensemble-Weighted (mstl_only),CI,7,3.8275893250931894
Ensemble-Weighted (mstl_only),CI,8,4.440516030257018
Ensemble-Weighted (mstl_only),CI,9,4.357511808378857
Ensemble-Weighted (mstl_only),CI,10,4.439626043841862
Ensemble-Weighted (mstl_only),CI,11,5.325136477273613
Ensemble-Weighted (mstl_only),CI,12,5.181428974753413
Ensemble-Weighted (mstl_only),CI,13,4.997430743642044
Ensemble-Weighted (mstl_only),CI,14,4.816317641272474
Ensemble-Weighted (mstl_only),CI,15,4.932969741774986
Ensemble-Weighted (mstl_only),CI,16,4.781191977268974
Ensemble-Weighted (mstl_only),CI,17,4.874229649928535
Ensemble-Weighted (mstl_only),CI,18,4.864644040082375
Ensemble-Weighted (mstl_only),CI,19,5.761148446501489
Ensemble-Weighted (mstl_only),CI,20,5.258440486838873
Ensemble-Weighted (mstl_only),CI,21,4.643083813640211
Ensemble-Weighted (mstl_only),CI,22,4.783005771367559
Ensemble-Weighted (mstl_only),CI,23,4.687109813206197
Ensemble-Weighted (mstl_only),CI,24,4.846126494350564
Ensemble-Weighted (mstl_only),RE,1,0.14146703266377986
Ensemble-Weighted (mstl_only),RE,2,0.39112782488920295
Ensemble-Weighted (mstl_only),RE,3,0.44381145791505433
Ensemble-Weighted (mstl_only),RE,4,0.4616266867079488
Ensemble-Weighted (mstl_only),RE,5,0.46835075721094943
Ensemble-Weighted (mstl_only),RE,6,0.5228827062821306
Ensemble-Weighted (mstl_only),RE,7,0.5030425881922863
Ensemble-Weighted (mstl_only),RE,8,0.5557168042559133
Ensemble-Weighted (mstl_only),RE,9,0.5213847956378431
Ensemble-Weighted (mstl_only),RE,10,0.5426884874274062
Ensemble-Weighted (mstl_only),RE,11,0.6527954536457501
Ensemble-Weighted (mstl_only),RE,12,0.6392647014843758
Ensemble-Weighted (mstl_only),RE,13,0.6294971409398409
Ensemble-Weighted (mstl_only),RE,14,0.6495403773024263
Ensemble-Weighted (mstl_only),RE,15,0.6686318883973402
Ensemble-Weighted (mstl_only),RE,16,0.653795881804173
Ensemble-Weighted (mstl_only),RE,17,0.7008033050511596
Ensemble-Weighted (mstl_only),RE,18,0.6561038756732245
Ensemble-Weighted (mstl_only),RE,19,0.780669530001398
Ensemble-Weighted (mstl_only),RE,20,0.6911522433989216
Ensemble-Weighted (mstl_only),RE,21,0.6636332080341762
Ensemble-Weighted (mstl_only),RE,22,0.6943819364671897
Ensemble-Weighted (mstl_only),RE,23,0.7346357489354892
Ensemble-Weighted (mstl_only),RE,24,0.7700808098316759
Ensemble-Weighted (multi_only),CI,1,1.293168301597908
Ensemble-Weighted (multi_only),CI,2,3.196448349003755
Ensemble-Weighted (multi_only),CI,3,3.589618316388644
Ensemble-Weighted (multi_only),CI,4,3.828657572693638
Ensemble-Weighted (multi_only),CI,5,4.227896285157665
Ensemble-Weighted (multi_only),CI,6,5.118985223052305
Ensemble-Weighted (multi_only),CI,7,5.068138540682453
Ensemble-Weighted (multi_only),CI,8,6.002263255944455
Ensemble-Weighted (multi_only),CI,9,6.41200636472101
Ensemble-Weighted (multi_only),CI,10,6.748988519353307
Ensemble-Weighted (multi_only),CI,11,8.235808007674914
Ensemble-Weighted (multi_only),CI,12,8.411913319104054
Ensemble-Weighted (multi_only),CI,13,8.550451775774132
Ensemble-Weighted (multi_only),CI,14,8.793900856057226
Ensemble-Weighted (multi_only),CI,15,9.469083536565849
Ensemble-Weighted (multi_only),CI,16,9.766327244417448
Ensemble-Weighted (multi_only),CI,17,9.550837741120613
Ensemble-Weighted (multi_only),CI,18,9.952144250226524
Ensemble-Weighted (multi_only),CI,19,10.937065943934567
Ensemble-Weighted (multi_only),CI,20,10.054518727853225
Ensemble-Weighted (multi_only),CI,21,9.146092733938444
Ensemble-Weighted (multi_only),CI,22,9.174428386683832
Ensemble-Weighted (multi_only),CI,23,8.423884726206417
Ensemble-Weighted (multi_only),CI,24,9.359916722793269
Ensemble-Weighted (multi_only),RE,1,0.1405431997098123
Ensemble-Weighted (multi_only),RE,2,0.361047566200517
Ensemble-Weighted (multi_only),RE,3,0.4209457897826766
Ensemble-Weighted (multi_only),RE,4,0.4631435188904413
Ensemble-Weighted (multi_only),RE,5,0.4779591176293053
Ensemble-Weighted (multi_only),RE,6,0.5718834471483693
Ensemble-Weighted (multi_only),RE,7,0.5609485269934628
Ensemble-Weighted (multi_only),RE,8,0.6677318721764199
Ensemble-Weighted (multi_only),RE,9,0.6867775028545369
